 
 Subroutine	 #	Source File	Error Message
 Parfill 	-1	convsub.ftn	Illegal SUBA grid type
 Parfill 	-2	convsub.ftn	Cannot save GRTYP=L time-series
 Plagem4	-1	gemdiag.ftn	Source pressure levels are not monotonous
 Plagem4	-2	gemdiag.ftn	Bad coding for GEM4 levels. Should be HYBRID
 Plagem4	-3	gemdiag.ftn	Destination GEM4 levels are not monotonous
 Precede 	-1	util.ftn	FSTINF(X) seek error
 Precede 	-2	util.ftn	Found a ++ record at the start of the file
 Precle		-1	convsub.ftn	Stack not initialized via INICLE
 Precle		-2	convsub.ftn	Requested offset too large
 Precle		-3	convsub.ftn	Unknown I/O unit number
 Probf		-1	prob.ftn	Illegal number of degrees of freedom
 PushU		-1	convsub.ftn	Too many U reference records
 Pushyz		-1	convsub.ftn	Too many Y/Z different reference sets
 Putbuf2 	-1	put.ftn		Header record problem (type PK92)
 Putbuf2 	-2	put.ftn		Header record problem (type PK84)
 Putbuf2 	-3	put.ftn		Mismatch between HEAD and IOHEAD
 Puthic		-1	put.ftn		Size discrepancy in IBUF high area
 Puthic		-2	put.ftn		Unknown character parameter name
 Puthigh 	-1	put.ftn		Size discrepancy in IBUF high area
 Puthigh 	-2	put.ftn		Unknown integer parameter name
 Putlab		-1	label.ftn	Unsupported file type
 Putzref 	-1	convsub.ftn	Unable to open file zcrochets
 Recget		-1	rec.ftn		MAXPK less or equal to 0
 Recget		-2	rec.ftn		Input buffer too small
 Recpk2		-1	rec.ftn		Output buffer too small
 Recput		-1	rec.ftn		Problem writing buffer to file
 Recup2		-1	rec.ftn		Illegal packing density for character data
 Savzref 	-1	convsub.ftn	Unable to open file zcrochets
 Savzref 	-2	convsub.ftn	Not the same number of ^^ and >> records
 Savzref 	-3	convsub.ftn	Problem reading ^^ or   >> records
 Savzref 	-4	convsub.ftn	^^ or	>> records too large
 Savzref 	-5	convsub.ftn	FSTLUK error
 Savzref 	-6	convsub.ftn	^^ and >> record descriptor mismatch
 Savzref 	-7	convsub.ftn	Bad dimensions for data in file zcrochets
 Sbyt92		-1	pacc92.ftn	NBIT greater than 32 is illegal
 Sbyt92		-2	pacc92.ftn	Illegal machine type
 Setfft8_b	-1	fftini.ftn	Transform lenght has to be even
 Setftnb 	-1	util.ftn	Unable to set fortran binary mode
 Setkind 	-1	coord.ftn	Unsupported vertical coordinate
 Setkindi 	-1	coord.ftn	Unrecognized numeric KIND value
 Sfft		-1	sfft.ftn	FFTini has not been called yet
 Sigloc		-1	coord.ftn	Illegal LAY (layering) option
 Spectra 	-1	spectra.ftn	LR or LM is less than 2
 Spectra 	-2	spectra.ftn	LR is less than LM
 Vfft		-1	fftcray.ftn	LOT greater than MAXLOT
 Writef		-1	util.ftn	Fortran I/O error
 WritSTD	-1	convsub.ftn	FCLOS or FSTFRM error
 WritSTD	-2	convsub.ftn	FNOM or FSTOUV error
 WritSTD	-3	convsub.ftn	Y and Z grids in same file 
 WritUref	-1	convsub.ftn	Descripancy between internal descriptors
 
 
 		The above subroutine source files can be found under
 
 			$ARMNLIB/modeles/diag_shared/rdiag/lssub
 
 	at EC/CMC. Please note as well that adding "-info" to the original
 	  command line that generated an error may in some instances add
 				relevant details.
 
 
 			Contact: Dugas.Benard@uqam.ca
 			Last Revision: October 2014.
 
